,org_airport,dest_airport,dist
1262,DFW,LAS,1055
1265,EWR,SJU,1608
1267,GSO,ATL,306
1268,MSP,PIT,726
1274,SDF,ATL,321
1275,DFW,DTW,986
1276,BWI,SLC,1865
1277,CHS,ATL,259
1278,DEN,LGA,1620
1279,HPN,RSW,1102
1281,LBB,IAH,458
1282,CAE,ATL,192
1283,AVP,ORD,632
1285,GSO,DFW,999
1288,SGF,ORD,438
1290,CMI,ORD,135
1292,DFW,SHV,190
1293,DFW,TYS,772
1294,COU,ORD,315
1296,FLL,DTW,1127
1297,ACY,MCO,852
1298,RDM,LAX,726
1299,HLN,SLC,402
1300,OKC,SLC,866
1301,SFO,SMF,86
1302,MSP,SFO,1589
1303,DFW,SFO,1464
1305,BTM,SLC,358
1307,CVG,RSW,879
1309,STL,SFO,1735
1310,BOS,DEN,1754
1311,FLL,DEN,1703
1314,CMH,ORD,296
1317,TPA,MIA,204
1318,MEM,CLT,511
1319,PHL,MIA,1013
1321,ATL,MDW,591
1322,ELP,AUS,528
1323,EWR,MDW,711
1324,ISP,MCO,971
1325,MCI,BWI,967
1326,MCI,MSY,689
1327,MCO,BNA,616
1332,LAX,IAD,2288
1334,LAS,LAX,236
1335,DFW,BDL,1471
1336,PBI,DFW,1102
1338,SEA,KTN,680
1339,JNU,ANC,571
1341,TPA,DCA,814
1342,BOS,MCO,1121
1343,MSP,PDX,1426
1345,RSW,DFW,1017
1348,IAH,IND,844
1349,DFW,LIT,304
1350,LAX,SMF,373
1356,DEN,PDX,991
1357,BDL,RSW,1180
1358,IND,BWI,516
1359,LAS,DAL,1067
1360,LAS,SAT,1069
1361,LAX,DAL,1246
1362,MCO,DAL,973
1363,MCO,STL,882
1364,PHX,HOU,1020
1367,TUL,DAL,237
1370,DFW,SJC,1438
1372,RDU,ORD,646
1375,JFK,RDU,427
1377,JFK,IAD,228
1378,RSW,MSP,1416
1381,BWI,ATL,577
1382,JFK,SRQ,1041
1384,TTN,CVG,532
1385,DFW,TUL,237
1386,DFW,GRK,134
1387,DFW,PNS,604
1389,MEM,ORD,491
1390,OKC,ORD,693
1393,OKC,SFO,1384
1394,SJU,IAH,2007
1396,LAX,SAN,109
1397,IAD,ORD,589
1400,BOI,IAH,1482
1403,AUS,DEN,775
1404,ORD,BTV,763
1405,ORD,DSM,299
1407,SFO,IAD,2419
1408,BNA,CLT,328
1409,STL,CLT,575
1410,AUS,PHL,1430
1411,ATL,PHX,1587
1412,SAN,IAD,2253
1413,LGA,DEN,1620
1414,CLT,BWI,361
1415,DAL,ATL,721
